Group,Model,tmse,Spearman Average,Pearson Average
1,classical_300_layer3,0.033534712216661426,0.9539071387127109,0.9173456009858743
1,qh8_300_layer3,0.03399229067009035,0.954931843336288,0.9178601754217357
1,ensemble_qh8_300_layer3,0.030644528258986403,0.9574179915861281,0.9241386789294481
2,classical_1200_layer3,0.031155304857933733,0.9574955091195296,0.9228133239741145
2,qh8_1200_layer3,0.029940764159673696,0.9591547229906608,0.9245800839411311
2,ensemble_qh8_1200_layer3,0.026055955452471486,0.9614534446788934,0.9311196437385485
3,classical_2100_layer3,0.025392247740055503,0.9588129497690209,0.9256623095684382
3,qh2_2100_layer3,0.025413516567058814,0.9610057840509924,0.9264426086461092
3,ensemble_qh2_2100_layer3,0.022498506925124694,0.9631767683562297,0.933776702831761
4,classical_300_layer2,0.03779534045549744,0.9540192557211389,0.9158208851230417
4,qh2_300_layer2,0.038373136089007276,0.954044382663472,0.9155828950281345
4,ensemble_qh2_300_layer2,0.03459185034033809,0.9563958777868179,0.9213980555800168
5,classical_1200_layer2,0.03467600216883427,0.9575419171522725,0.9223939417735417
5,qh8_1200_layer2,0.03344813433845087,0.9578072052687359,0.9218247446091786
5,ensemble_qh8_1200_layer2,0.031001223596632335,0.9597755350008482,0.9275897141687378
6,classical_2100_layer2,0.032622642510376755,0.9586726273631355,0.9244358357804289
6,qh2_2100_layer2,0.06494282227310778,0.9592840691287369,0.9239057686338004
6,ensemble_qh2_2100_layer2,0.03916543213692524,0.9610451073620263,0.929672451550031
7,classical_2048_layer1,0.11063000954299616,0.939293832946923,0.8841510606839512
7,qh2_2048_layer1,0.11173764860979137,0.9382833868564147,0.8875672990102744
7,ensemble_qh2_2048_layer1,0.09243969884629628,0.9419886726084948,0.8937906736797673
