Group,Model,TMSE Average,TMSE Q1,TMSE Q2,TMSE Q3
1,classical_300_layer3,0.033534712216661426,9.052175110826378e-05,0.00015372574278811773,0.00033814291645489433
1,qh8_300_layer3,0.03399229067009035,8.68727643188164e-05,0.00014344839041474495,0.00029230919686000923
1,ensemble_qh8_300_layer3,0.030644528258986403,8.141030956746844e-05,0.00013783687083614935,0.0002950102354154952
2,classical_1200_layer3,0.031155304857933733,8.197477277435228e-05,0.00014717670787866788,0.0003200891450491178
2,qh8_1200_layer3,0.029940764159673696,7.560289908107714e-05,0.00012515468410339946,0.0002487748355079984
2,ensemble_qh8_1200_layer3,0.026055955452471486,7.109948136468691e-05,0.0001231409101409811,0.0002625891294817343
3,classical_2100_layer3,0.025392247740055503,7.823839448906018e-05,0.0001406553206099477,0.00030876902139868575
3,qh2_2100_layer3,0.025413516567058814,6.92785439903766e-05,0.00011658634939435076,0.0002298853702006105
3,ensemble_qh2_2100_layer3,0.022498506925124694,6.54246110977259e-05,0.00011543002489851066,0.00024671793596177513
4,classical_300_layer2,0.03779534045549744,9.361438459622179e-05,0.00016093396596935766,0.00034813746612646034
4,qh2_300_layer2,0.038373136089007276,8.996643711101016e-05,0.00015151395549427987,0.00031294794465008493
4,ensemble_qh2_300_layer2,0.03459185034033809,8.483147998770207e-05,0.00014698735370361564,0.0003134353840983791
5,classical_1200_layer2,0.03467600216883427,8.524181892822301e-05,0.00014961061024593804,0.0003312424051500354
5,qh8_1200_layer2,0.03344813433845087,7.9397386744888e-05,0.00013347221926418007,0.0002655585922289147
5,ensemble_qh8_1200_layer2,0.031001223596632335,7.629224276507504e-05,0.00013242206307323426,0.0002849077941866944
6,classical_2100_layer2,0.032622642510376755,8.411319159006647e-05,0.00014842786397256216,0.0003244646762622089
6,qh2_2100_layer2,0.06494282227310778,7.605463673234891e-05,0.0001264809197861515,0.0002579077430743766
6,ensemble_qh2_2100_layer2,0.03916543213692524,7.380636857663628e-05,0.0001284109510082896,0.00027707649307061235
7,classical_2048_layer1,0.11063000954299616,0.00012993053938420573,0.0002443414101523875,0.0007687937934692255
7,qh2_2048_layer1,0.11173764860979137,0.0001672049985452086,0.00032098119666816886,0.0009805063109951124
7,ensemble_qh2_2048_layer1,0.09243969884629628,0.0001370468860544525,0.00026488247153517715,0.000835296179699382
